square_item_name,square_item_variant,square_item_modifier,jurnal_item_name
Makaroni Mamiku,Regular,,Makaroni Mamiku
Matcha Latte,Regular,,Matcha Latte
Matcha Latte (Gojek),Regular,,Matcha Latte (Gojek)
Matcha Sundae,Regular,,Matcha Sundae
Mie Goreng Meraci,Regular,,Mie Goreng Meraci
Mie Goreng Meraci (Gojek),Regular,,Mie Goreng Meraci (Gojek)
Mie Goreng Mercon,Regular,,Mie Goreng Mercon
Mie Goreng Mercon (Gojek),Regular,,Mie Goreng Mercon (Gojek)
Milk,Regular,,Milk Reguler
Milkshake,Flavor Banana,,Milkshake Banana
Milkshake,Flavor Caramel,,Milkshake Caramel
Milkshake,Flavor Hazelnut,,Milkshake Hazelnut
Milkshake,Regular,,Milkshake Reguler
Milkshake,Flavor Vanilla,,Milkshake Vanilla
Milkshake (Gojek),Banana,,Milkshake Banana (Gojek)
Milkshake (Gojek),Caramel,,Milkshake Caramel (Gojek)
Milkshake (Gojek),Hazelnut,,Milkshake Hazelnut (Gojek)
Milkshake (Gojek),Reguler,,Milkshake Reguler (Gojek)
Milkshake (Gojek),Vanilla,,Milkshake Vanilla (Gojek)
Mix Fries,Regular,,Mix Fries
Mix Fries (Gojek),Regular,,Mix Fries (Gojek)
Mochachino,Regular Blend,,Mochachino Regular Blend
Mochachino,Regular Premium,,Mochachino Reguler Premium
Mochachino (Gojek),Regular,,Mochachino (Gojek)
Nasi Ayam Geprek (Gojek),Regular,,Ayam Geprek (Gojek)
Nasi Ayam Lalapan,Regular,,Nasi Ayam Lalapan
Nasi Ayam Lalapan,Promo Makan Siang,,Nasi Ayam Lalapan Promo
Nasi Goreng Granat,Regular,,Nasi Goreng Granat
Nasi Goreng Granat (Gojek),Regular,,Nasi Goreng Granat (Gojek)
Nasi Goreng Meraci,Regular,,Nasi Goreng Meraci
Nasi Goreng Meraci (Gojek),Regular,,Nasi Goreng Meraci (Gojek)
Nasi Kari Daging,Regular,,Nasi Kari Daging
Nasi Kari Daging (Gojek),Regular,,Nasi Kari Daging (Gojek)
Nasi Telur,Regular,,Nasi Telur
Nasi Telur (Gojek),Regular,,Nasi Telur (Gojek)
Nitro Coffee,Normal,,Nitro Coffee
Nitro Coffee,Normal,,Nitro Coffee
Nugget (Gojek),Regular,,Nugget (Gojek)
Pempek Nusantara,"Paket A - Telur Puyuh, Adaan, Lenjer",,Pempek Paket A
Pempek Nusantara,"Paket B - Telur Puyuh, Lenjer, Kapal Selam",,Pempek Paket B
Pisang Goreng (Gojek),Regular,,Pisang Goreng (Gojek)
Pisang Keju,Regular,,Pisang Keju
Practice Steaming,Regular,,Practice Steaming
Puding Kopi,Regular,,Puding Kopi
Red Coffee,Regular,,Red Coffee
Red Coffee (Gojek),Regular,,Red Coffee (Gojek)
Red Velvet (Gojek),Regular,,Red Velvet (Gojek)
Red Velvet Latte,Regular,,Red Velvet Latte
Red Velvet Sundae,Regular,,Red Velvet Sundae
Robusta Temanggung 1000 Gram,Regular,,Robusta Temanggung 1 Kg
Robusta Temanggung 1000 Gram (Filter),Regular,,Robusta Temanggung 1 Kg
Robusta Temanggung 150 Gram,Regular,,Robusta Temanggung 150 Gr
Roti Bakar,Rokar Coklat,,Roti Bakar - Coklat
Roti Bakar,Rokar Keju Coklat,,Roti Bakar - Keju Coklat
Roti Bakar,Rokar Srikaya,,Roti Bakar - Srikaya
Roti Bakar,Rokar Keju,,Roti Bakar + Keju
Roti Bakar (Gojek),Coklat,,Roti Bakar - Coklat (Gojek)
Roti Bakar (Gojek),Coklat Keju,,Roti Bakar - Keju Coklat (Gojek)
Roti Bakar (Gojek),Srikaya,,Roti Bakar - Srikaya (Gojek)
Roti Bakar (Gojek),Keju,,Roti Bakar + Keju (Gojek)
Roti Canai,Coklat,,Roti Canai + Cokelat
Roti Canai,Kari Daging,,Roti Canai + Kari Daging
Roti Canai,Keju,,Roti Canai + Keju
Roti Canai,Telur,,Roti Canai + Telur
Sempol Ayam,Regular,,Sempol Ayam
Shakerato,Regular,,Shakerato
Shakerato,Regular,Extra Espresso,Shakerato
Singkong Goreng,Regular,,Singkong Goreng
Singkong Goreng,Keju,,Singkong Goreng Keju
Singkong Goreng,BBQ,,Singkong Goreng BBQ
Singkong Goreng,Balado,,Singkong Goreng Balado
Singkong Goreng,Jagung Bakar,,Singkong Goreng Jagung Bakar
Singkong Goreng (Gojek),Regular,,Singkong Goreng (Gojek)
Siomay,Regular,,Siomay Porsi
Skm,Regular,,Kental Manis Porsi
Sosis,Regular,,Sosis
Steam Milk (Gojek),Banana,,Steam Milk Banana (Gojek)
Steam Milk (Gojek),Caramel,,Steam Milk Caramel (Gojek)
Steam Milk (Gojek),Hazelnut,,Steam Milk Hazelnut (Gojek)
Steam Milk (Gojek),Reguler,,Steam Milk Reguler (Gojek)
Steam Milk (Gojek),Vanilla,,Steam Milk Vanilla (Gojek)
Steamed Milk,Flavor Banana,,Steam Milk Banana
Steamed Milk,Flavor Caramel,,Steam Milk Caramel
Steamed Milk,Flavor Hazelnut,,Steam Milk Hazelnut
Steamed Milk,Regular,,Steam Milk Reguler
Steamed Milk,Flavor Vanilla,,Steam Milk Vanilla
Sunda Papandayan Natural 150 Gr,Regular,,Sunda Papandayan Natural 150 Gr
Sundae Polos,Regular,,Sundae Polos
Syrup,Hazelnut,,Sirup Hazelnut
Syrup,Vanilla,,Sirup Vanilla
Syrup,Caramel,,Sirup Caramel
Syrup,Banana,,Sirup Banana
Tahu Bakso,Regular,,Tahu Bakso Porsi
Tahu Bakso (Gojek),Regular,,Tahu Bakso (Gojek)
Taro Latte,Regular,,Taro Latte
Taro Latte (Gojek),Regular,,Taro Latte (Gojek)
Teh Kotak Sosro,Regular,,Teh Kotak
Telur Ceplok,Regular,,Telur Ceplok
Telur Dadar,Regular,,Telur Dadar
Thai Tea,Regular,,Thai Tea
Thai Tea Latte (Gojek),Regular,,Thai Tea Latte (Gojek)
Vanillato,Regular,,Vanillato
Vanillato (Gojek),Regular,,Vanillato (Gojek)
Robusta Espresso Calibration,Regular,,Robusta Espresso Calibration
